Category,Key,Value
Company,Name,Uconia
Company,Category,Construction Management SaaS
Company,Mission,Become the operating system for large scale construction via digitising the Last Planner System (LPS) to enable transparent reliable collaborative construction planning
Product Focus,Focus Area,Lookahead planning
Product Focus,Focus Area,Weekly commitments
Product Focus,Focus Area,Constraint management
Product Focus,Focus Area,Percent Plan Complete (PPC)
Product Focus,Focus Area,Variance learning
Product Focus,Focus Area,Readiness gating
Core Module,Name,Plan
Core Module,Description,Core LPS execution engine
Core Module,Name,Connect
Core Module,Description,Bridge between Uconia and Primavera P6 / master schedules
Primary Users,User Type,General Contractors (GCs)
Primary Users,User Type,Subcontractor Leads
Primary Users,User Type,Planners
Primary Users,User Type,Subcontractor supervisors
Secondary Users,User Type,Project director
Secondary Users,User Type,Lead planner
Secondary Users,User Type,Senior business stakeholders
Target Client Profile,Profile,GCs building data centres
Target Client Profile,Profile,Large-scale building project GCs
Target Client Profile,Profile,Subcontractor leads on complex building projects
Target Client Profile,Geography,Europe (primary)
Key Goals,Goal,Improve the efficiency and build speed of Sub contractors on site
Key Goals,Goal,Integrate office planning with field execution
Key Goals,Goal,Create a single source of truth for planning
Key Goals,Goal,Improve schedule reliability
Key Goals,Goal,Improve PPC performance
Key Goals,Goal,Improve project SPI
Active Initiative,Name,Plan 2.0
Active Initiative,Focus Area,Metric dashboards
Active Initiative,Focus Area,Constraint management experience
Active Initiative,Focus Area,Improved task execution tracking
Active Initiative,Focus Area,Import from P6 improvements
Active Initiative,Focus Area,Review of weekly P6 import
Planned Initiative,Focus Area,Advanced reporting
Planned Initiative,Focus Area,Resource and quantities management
Planned Initiative,Focus Area,Checklists/Forms
Planned Initiative,Focus Area,Asset diagram view
Planned Initiative,Focus Area,Signatures/Sign off
Planned Initiative,Focus Area,AI driven dashboards - embedding AI into dashboards to drive insight generation
Planned Initiative,Focus Area,AI driven report generation - natural language prompts for report generation based on data present in the Uconia project
Planned Initiative,Focus Area,Task bundles/Templates
Planned Initiative,Focus Area,Supervisor tablet experience
Planned Initiative,Focus Area,Basic reporting
Planned Initiative,Focus Area,Connect redesign
Planned Initiative,Focus Area,Claims support
Planned Initiative,Focus Area,Notifications centre
Planned Initiative,Focus Area,Commissioning solution with rule builder for sub task generation
Planned Initiative,Focus Area,Weekly work plan execution pack
Planned Initiative,Focus Area,Location centric view
Planned Initiative,Focus Area,Look ahead centric view
Planned Initiative,Focus Area,Offline mode on mobile app
Planned Initiative,Focus Area,Portfolio / multi-project view (not yet in product)
Workflow Focus,Weekly Flow Step,Import XER from P6
Workflow Focus,Weekly Flow Step,Review weekend changes to XER from last weeks XER file
Workflow Focus,Weekly Flow Step,Select look ahead window duration
Workflow Focus,Weekly Flow Step,Hook and sync tasks within the lookahead period to Plan module
Workflow Focus,Weekly Flow Step,Conduct look ahead planning
Workflow Focus,Weekly Flow Step,Identify constraints on tasks within the lookahead window (See constraint flow step)
Workflow Focus,Weekly Flow Step,Resolve constraints on tasks within the look ahead window (See constraint flow step)
Workflow Focus,Weekly Flow Step,Week-one focused constraint removal
Workflow Focus,Weekly Flow Step,Weekly Work Plan commitment (WWP can be created but no dedicated WWP view yet)
Workflow Focus,Weekly Flow Step,Location-based weekly work breakdown
Workflow Focus,Weekly Flow Step,Highlighting of Trade handoffs
Workflow Focus,Weekly Flow Step,WWP execution phase
Workflow Focus,Weekly Flow Step,Weekly closeout with variance explanation
Workflow Focus,Weekly Flow Step,Post-week review
Workflow Focus,Constraint Flow Step,Constraint capture
Workflow Focus,Constraint Flow Step,Constraint assessment
Workflow Focus,Constraint Flow Step,Constraint assignment
Workflow Focus,Constraint Flow Step,Constraint resolution
Workflow Focus,Constraint Flow Step,Constraint analytics and overview
Product Strategy Note,Note,Bridge long-term planning (P6) with short-term field execution
Product Strategy Note,Note,Focus on readiness before commitment (readiness gating is planned but not yet enforced - tasks with unresolved constraints are not currently blocked from commitment)
Product Strategy Note,Note,Enable learning loops from variance and PPC
Product Strategy Note,Note,Support trade-to-trade coordination
Current Product Capabilities,Capability,Lookahead planning (core)
Current Product Capabilities,Capability,Constraint management - structured LPS workflow (capture / assessment / assignment / resolution / analytics)
Current Product Capabilities,Capability,PPC tracking - native with structured variance categorisation
Current Product Capabilities,Capability,Variance learning loop - categories feed weekly closeout
Current Product Capabilities,Capability,P6 integration via Connect module (import only - weekly XER review in progress)
Current Product Capabilities,Capability,Hook feature - convert P6 schedule activities to lookahead tasks
Current Product Capabilities,Capability,Weekly Work Plan creation (no dedicated WWP view yet)
Current Product Capabilities,Capability,Basic analytics and reporting native on platform
Current Product Capabilities,Capability,Complex bespoke analytics via Power BI integration
Current Product Capabilities,Capability,PDF export of basic and complex dashboards (not lookahead or WWP)
Current Product Capabilities,Capability,Full mobile app
